,Bug ID,,Test,Opt Status,Debug Status,Owner,Assignee,Fission Target,Comments
,Core::Audio/Video: Playback,,,,,,,,
1576480,1576480,dom/tests/mochitest/dom-level0/test_setting_document.domain_idn.html,dom/tests/mochitest/dom-level0/test_setting_document.domain_idn.html,passes,passes,hsinyi/neha,valentin,M4,"The reason it's failing is that it's doing setTimeout(..., 0) to wait for the postMessage from the iframes. - which will fail under fission. We should properly wait for the message."
1586779,1586779,dom/tests/mochitest/general/test_interfaces_secureContext.html,dom/tests/mochitest/general/test_interfaces_secureContext.html,skipped,skipped,hsinyi/neha,jdai,M4,Likely becase of bug 1570243?
1562264,1562264,dom/tests/mochitest/general/test_storagePermissionsAccept.html,dom/tests/mochitest/general/test_storagePermissionsAccept.html,passes,passes,hsinyi/neha,kashav,M4,
1560110,1560110,dom/tests/mochitest/general/test_storagePermissionsLimitForeign.html,dom/tests/mochitest/general/test_storagePermissionsLimitForeign.html,passes,passes,hsinyi/neha,farre,M4,Bug 1562264 removed the debug skip-if.
1560110,1560110,dom/tests/mochitest/general/test_storagePermissionsReject.html,dom/tests/mochitest/general/test_storagePermissionsReject.html,passes,passes,hsinyi/neha,farre,M4,
1560110,1560110,dom/tests/mochitest/general/test_storagePermissionsRejectForeign.html,dom/tests/mochitest/general/test_storagePermissionsRejectForeign.html,passes,passes,hsinyi/neha,farre,M4,
1586235,1586235,dom/tests/mochitest/general/test_vibrator.html,dom/tests/mochitest/general/test_vibrator.html,skipped,skipped,hsinyi/neha,,M4,because of Crash in [@ mozilla::dom::BrowsingContext::CreateFromIPC]
1576814,1576814,dom/tests/mochitest/whatwg/test_postMessage.html,dom/tests/mochitest/whatwg/test_postMessage.html,passes,passes,hsinyi/neha,kmag,M4,"Most of the postMessage tests rely on loading cross-origin subframes, which they expect to be loaded by the time the top-level load event fires. They should start working as soon as cross-process iframes start properly blocking the load events of their parents."
1576814,1576814,dom/tests/mochitest/whatwg/test_postMessage_idn.xhtml,dom/tests/mochitest/whatwg/test_postMessage_idn.xhtml,passes,passes,hsinyi/neha,kmag,M4,
1576814,1576814,dom/tests/mochitest/whatwg/test_postMessage_joined.html,dom/tests/mochitest/whatwg/test_postMessage_joined.html,passes,passes,hsinyi/neha,kmag,M4,
1576407,1576407,dom/tests/mochitest/whatwg/test_postMessage_onOther.html,dom/tests/mochitest/whatwg/test_postMessage_onOther.html,passes,passes,hsinyi/neha,kmag,M4,
1576814,1576814,dom/tests/mochitest/whatwg/test_postMessage_origin.xhtml,dom/tests/mochitest/whatwg/test_postMessage_origin.xhtml,skipped,skipped,hsinyi/neha,kmag,M4,
1559841,1559841,dom/tests/mochitest/whatwg/test_postMessage_override.html,dom/tests/mochitest/whatwg/test_postMessage_override.html,skipped,skipped,hsinyi/neha,kmag,M4,
1578636,1578636,dom/tests/mochitest/whatwg/test_postMessage_structured_clone.html,dom/tests/mochitest/whatwg/test_postMessage_structured_clone.html,passes,passes,hsinyi/neha,kmag,M4,Bug 1570918
1579291,1579291,dom/tests/mochitest/whatwg/test_postMessage_transfer.html,dom/tests/mochitest/whatwg/test_postMessage_transfer.html,passes,passes,hsinyi/neha,kmag,M4,Bug 1571208
1572575,1572575,dom/tests/mochitest/whatwg/test_postMessage_userpass.html,dom/tests/mochitest/whatwg/test_postMessage_userpass.html,passes,passes,hsinyi/neha,kmag,M4,Bug 1576814
,,dom/websocket/tests/test_bug1384658.html,dom/websocket/tests/test_bug1384658.html,passes,passes,hsinyi/neha,,M4,
